Unnamed: 0,passenger_id,name,age,sibsp,parch,fare,cabin,boat,body,survived,sex_female,pclass_1,pclass_2,pclass_3,title,familysize,isalone
0,1216,735,29.461300741839764,0,0,7.7333,0,5,0.0,1,1.0,0.0,0.0,1.0,7,1,1
1,699,123,38.0,0,0,8.6625,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
2,1267,781,30.0,1,1,24.15,0,0,0.0,0,1.0,0.0,0.0,1.0,11,3,0
3,449,360,54.0,1,3,23.0,0,14,0.0,1,1.0,0.0,1.0,0.0,11,5,0
4,576,790,40.0,0,0,13.0,0,0,0.0,0,0.0,0.0,1.0,0.0,10,1,1
5,1083,587,28.0,0,0,22.525,0,0,173.0,0,0.0,0.0,0.0,1.0,10,1,1
6,898,398,19.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
7,560,718,30.0,0,0,13.0,0,2,0.0,1,1.0,0.0,1.0,0.0,7,1,1
8,1079,585,22.0,0,0,7.775,0,24,0.0,1,1.0,0.0,0.0,1.0,7,1,1
9,908,406,21.0,1,0,9.825,0,0,0.0,0,1.0,0.0,0.0,1.0,7,2,0
10,313,819,27.0,0,2,211.5,76,0,0.0,0,0.0,1.0,0.0,0.0,10,3,0
11,43,113,60.0,0,0,76.2917,86,20,0.0,1,1.0,1.0,0.0,0.0,11,1,1
12,233,636,56.0,0,1,83.1583,64,19,0.0,1,1.0,1.0,0.0,0.0,11,2,0
13,446,357,20.0,2,1,23.0,0,14,0.0,1,1.0,0.0,1.0,0.0,7,4,0
14,602,2,16.0,1,1,20.25,0,0,190.0,0,0.0,0.0,0.0,1.0,10,3,0
15,884,388,48.0,0,0,7.8542,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
16,497,506,40.0,0,0,16.0,0,0,0.0,0,0.0,0.0,1.0,0.0,10,1,1
17,1003,511,29.461300741839764,2,0,23.25,0,11,0.0,1,0.0,0.0,0.0,1.0,10,3,0
18,36,99,22.0,0,1,55.0,114,18,0.0,1,1.0,1.0,0.0,0.0,7,2,0
19,1088,591,32.0,0,0,7.775,0,22,0.0,1,0.0,0.0,0.0,1.0,10,1,1
20,978,483,27.0,0,0,8.6625,0,9,0.0,1,0.0,0.0,0.0,1.0,10,1,1
21,1030,537,29.461300741839764,0,0,8.4583,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
22,438,346,24.0,1,2,65.0,0,21,0.0,1,1.0,0.0,1.0,0.0,7,4,0
23,766,216,25.0,0,0,7.8958,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
24,661,55,18.0,0,0,8.05,0,24,0.0,1,1.0,0.0,0.0,1.0,7,1,1
25,556,711,27.0,0,0,26.0,0,0,0.0,0,0.0,0.0,1.0,0.0,10,1,1
26,1008,515,35.0,0,0,7.75,0,0,0.0,0,1.0,0.0,0.0,1.0,7,1,1
27,575,779,27.0,1,0,21.0,0,0,0.0,0,1.0,0.0,1.0,0.0,11,2,0
28,775,226,29.461300741839764,0,0,7.2292,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
29,162,366,42.0,1,0,52.0,0,0,38.0,0,0.0,1.0,0.0,0.0,10,2,0
30,15,66,29.461300741839764,0,0,25.925,0,0,0.0,0,0.0,1.0,0.0,0.0,10,1,1
31,1002,510,29.461300741839764,2,0,23.25,0,11,0.0,1,1.0,0.0,0.0,1.0,7,3,0
32,737,188,19.0,0,0,8.1583,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
33,1162,677,29.461300741839764,0,0,7.75,0,8,0.0,1,0.0,0.0,0.0,1.0,10,1,1
34,420,289,21.0,1,0,11.5,0,0,0.0,0,0.0,0.0,1.0,0.0,10,2,0
35,601,1,13.0,0,2,20.25,0,0,0.0,0,0.0,0.0,0.0,1.0,6,3,0
36,877,378,27.0,1,0,7.925,0,0,0.0,0,1.0,0.0,0.0,1.0,7,2,0
37,249,679,13.0,2,2,262.375,31,14,0.0,1,0.0,1.0,0.0,0.0,6,5,0
38,973,479,29.461300741839764,0,0,7.55,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
39,407,253,29.0,1,0,26.0,0,11,0.0,1,1.0,0.0,1.0,0.0,11,2,0
40,1169,688,38.5,0,0,7.25,0,0,32.0,0,0.0,0.0,0.0,1.0,10,1,1
41,1197,712,29.461300741839764,0,0,15.1,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
42,275,740,40.0,1,1,134.5,115,13,0.0,1,1.0,1.0,0.0,0.0,11,3,0
43,87,202,27.0,0,0,30.5,0,13,0.0,1,0.0,1.0,0.0,0.0,10,1,1
44,148,327,45.0,1,0,83.475,77,0,0.0,0,0.0,1.0,0.0,0.0,10,2,0
45,1239,763,34.0,0,0,8.05,0,0,176.0,0,0.0,0.0,0.0,1.0,10,1,1
46,495,497,29.461300741839764,0,0,15.5792,0,0,0.0,0,0.0,0.0,1.0,0.0,10,1,1
47,1179,697,29.461300741839764,1,9,69.55,0,0,0.0,0,0.0,0.0,0.0,1.0,10,11,0
48,689,105,22.0,1,0,7.25,0,0,0.0,0,0.0,0.0,0.0,1.0,10,2,0
49,330,38,57.0,0,0,13.0,0,0,0.0,0,0.0,0.0,1.0,0.0,10,1,1
50,540,638,2.0,1,1,26.0,0,3,0.0,1,1.0,0.0,1.0,0.0,7,3,0
51,918,414,29.461300741839764,0,0,7.2292,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
52,139,308,58.0,0,1,153.4625,50,13,0.0,1,1.0,1.0,0.0,0.0,11,2,0
53,804,259,29.461300741839764,0,0,7.75,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
54,1148,659,35.0,0,0,7.125,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
55,1250,772,29.461300741839764,0,0,7.8958,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
56,817,290,22.0,0,0,8.05,0,0,47.0,0,0.0,0.0,0.0,1.0,10,1,1
57,142,311,46.0,0,0,79.2,39,0,0.0,0,0.0,1.0,0.0,0.0,10,1,1
58,570,773,50.0,0,0,10.5,0,21,0.0,1,1.0,0.0,1.0,0.0,7,1,1
59,55,141,14.0,1,2,120.0,42,14,0.0,1,1.0,1.0,0.0,0.0,7,4,0
60,50,133,58.0,0,1,262.375,29,13,0.0,1,1.0,1.0,0.0,0.0,11,2,0
61,447,358,23.0,2,1,11.5,0,0,0.0,0,0.0,0.0,1.0,0.0,10,4,0
62,173,419,32.5,0,0,211.5,53,0,45.0,0,0.0,1.0,0.0,0.0,10,1,1
63,958,459,29.461300741839764,0,4,25.4667,0,0,0.0,0,1.0,0.0,0.0,1.0,11,5,0
64,719,163,18.0,0,0,8.05,0,4,0.0,1,0.0,0.0,0.0,1.0,10,1,1
65,273,739,6.0,0,2,134.5,115,13,0.0,1,0.0,1.0,0.0,0.0,6,3,0
66,710,137,37.0,0,0,7.75,0,0,0.0,0,1.0,0.0,0.0,1.0,7,1,1
67,762,213,1.0,1,2,20.575,0,2,0.0,1,0.0,0.0,0.0,1.0,6,4,0
68,950,452,29.0,0,0,9.4833,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
69,268,733,24.0,1,0,60.0,59,0,0.0,0,0.0,1.0,0.0,0.0,10,2,0
70,355,116,36.0,0,0,13.0,0,21,0.0,1,1.0,0.0,1.0,0.0,7,1,1
71,504,524,39.0,0,0,13.0,0,0,0.0,0,0.0,0.0,1.0,0.0,10,1,1
72,57,143,36.0,1,2,120.0,42,14,0.0,1,1.0,1.0,0.0,0.0,11,4,0
73,712,147,24.0,0,0,8.05,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
74,600,0,42.0,0,0,7.55,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
75,821,296,33.0,1,1,20.525,0,0,0.0,0,0.0,0.0,0.0,1.0,10,3,0
76,634,33,26.0,0,0,7.8958,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
77,970,473,20.0,1,0,7.925,0,9,0.0,1,0.0,0.0,0.0,1.0,10,2,0
78,1093,595,16.0,0,0,9.2167,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
79,1178,696,29.461300741839764,8,2,69.55,0,0,0.0,0,0.0,0.0,0.0,1.0,10,11,0
80,848,320,41.0,2,0,14.1083,0,0,0.0,0,0.0,0.0,0.0,1.0,10,3,0
81,182,454,30.0,0,0,106.425,0,12,0.0,1,1.0,1.0,0.0,0.0,7,1,1
82,185,470,42.0,0,0,26.55,0,0,0.0,0,0.0,1.0,0.0,0.0,10,1,1
83,716,158,26.0,1,0,14.4542,0,0,0.0,0,0.0,0.0,0.0,1.0,10,2,0
84,722,166,24.0,0,0,7.4958,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
85,744,197,19.0,0,0,10.1708,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
86,1091,594,20.0,0,0,8.6625,0,0,0.0,0,1.0,0.0,0.0,1.0,7,1,1
87,926,424,29.461300741839764,0,0,7.75,0,0,0.0,1,0.0,0.0,0.0,1.0,10,1,1
88,1139,644,38.0,0,0,7.8958,0,0,0.0,0,0.0,0.0,0.0,1.0,10,1,1
