StoreID,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment
52,Saturday,7751,,Yes,,Easter Holiday,Yes,Type D,Extended
,Tuesday,17881,857,Yes,Yes,None,Yes,Type A,Basic
15,Wednesday,2756,1147,Yes,No,None,Yes,Type A,Extra
72,,,420,Yes,Yes,None,Yes,Type B,Basic
61,Thursday,12601,373,Yes,Yes,None,Yes,Type A,Extra
21,Thursday,3828,655,No,Yes,Easter Holiday,No,Type C,Basic
83,Wednesday,15996,943,,Yes,None,Yes,,Basic
87,Monday,19031,1436,Yes,Yes,None,Yes,Type A,Extended
75,Sunday,14878,1486,Yes,Yes,None,Yes,Type A,Extended
75,Saturday,7992,767,Yes,No,None,No,Type D,Basic
88,Wednesday,14778,1099,Yes,Yes,Easter Holiday,Yes,Type B,Basic
24,Saturday,7771,,Yes,Yes,None,,Type D,Extended
3,Friday,17526,810,Yes,Yes,None,Yes,Type A,Extra
22,Thursday,4435,1797,,Yes,Public Holiday,Yes,Type B,Extended
53,Saturday,7622,1593,Yes,No,None,,Type C,
2,Tuesday,13852,845,Yes,Yes,Public Holiday,Yes,,Extended
88,Saturday,,774,Yes,Yes,None,Yes,Type A,Extended
30,Friday,11623,215,Yes,No,None,Yes,Type D,
38,Sunday,,704,Yes,No,Christmas,Yes,Type C,Basic
2,Thursday,3696,1165,,Yes,Public Holiday,Yes,Type A,
64,Wednesday,2717,1919,No,Yes,None,Yes,Type D,Extended
60,Friday,10259,478,Yes,Yes,None,Yes,Type D,Extended
21,Thursday,3786,1845,Yes,Yes,,Yes,Type A,Basic
33,Saturday,15154,1329,Yes,No,None,No,Type B,Extended
76,Sunday,,565,Yes,Yes,None,Yes,Type A,Basic
58,,4791,1855,No,Yes,None,Yes,Type C,Extended
22,Sunday,4871,379,Yes,Yes,None,Yes,Type A,Extra
89,Monday,2806,1771,Yes,Yes,None,Yes,Type B,
49,Tuesday,18888,717,Yes,Yes,Easter Holiday,Yes,,Extended
91,Sunday,14304,217,Yes,No,None,No,Type C,Basic
59,Thursday,19074,1360,Yes,Yes,Public Holiday,Yes,Type C,
42,Monday,,408,Yes,,None,No,Type C,Basic
92,Wednesday,,,Yes,No,None,Yes,Type C,Extra
,Thursday,17061,1598,Yes,,None,No,,Extra
80,Wednesday,16198,199,Yes,No,None,Yes,Type B,
15,,18888,360,Yes,Yes,None,Yes,Type B,Extra
62,Wednesday,11655,1092,No,Yes,None,Yes,,Basic
